,Date,next_date,Strategy_Return,Long_Stocks,Short_Stocks,Cumulative_Return
0,2023-01-30,2023-02-13,0.011398833512422131,"ITC, HDFCBANK, LT","KOTAKBANK, ASIANPAINT, INFY",1.0113988335124222
1,2023-02-13,2023-02-27,0.013987828928994271,"TCS, INFY, LT","KOTAKBANK, RELIANCE, ASIANPAINT",1.0255461073745784
2,2023-02-27,2023-03-13,0.011029552117427718,"TCS, LT, SBIN","KOTAKBANK, RELIANCE, ITC",1.0368574216146915
3,2023-03-13,2023-03-27,0.012431327401257278,"HDFCBANK, LT, TCS","RELIANCE, ITC, SBIN",1.0497469356912073
4,2023-03-27,2023-04-10,-0.030749798737825008,"TCS, LT, HDFCBANK","ICICIBANK, ASIANPAINT, RELIANCE",1.017467428693054
5,2023-04-10,2023-04-24,-0.004456062712195836,"TCS, RELIANCE, INFY","SBIN, LT, HDFCBANK",1.0129335300231812
6,2023-04-24,2023-05-08,0.010064506696984206,"KOTAKBANK, INFY, LT","ITC, SBIN, TCS",1.0231282063196994
7,2023-05-08,2023-05-22,0.006819369856808158,"KOTAKBANK, INFY, LT","ITC, RELIANCE, TCS",1.0301052959695263
8,2023-05-22,2023-06-05,0.019334361950015543,"SBIN, ASIANPAINT, LT","RELIANCE, ICICIBANK, HDFCBANK",1.050021724608429
9,2023-06-05,2023-06-19,0.0028854096148148655,"SBIN, ASIANPAINT, HDFCBANK","RELIANCE, LT, INFY",1.0530514673883784
10,2023-06-19,2023-07-03,-0.012974703171115499,"SBIN, HDFCBANK, ASIANPAINT","KOTAKBANK, INFY, TCS",1.0393884371751065
11,2023-07-03,2023-07-17,0.0005854986203899483,"SBIN, KOTAKBANK, ASIANPAINT","LT, TCS, HDFCBANK",1.0399969976711219
12,2023-07-17,2023-07-31,0.001912983496201711,"KOTAKBANK, SBIN, HDFCBANK","INFY, ASIANPAINT, RELIANCE",1.041986494763766
13,2023-07-31,2023-08-14,0.0011450047612440544,"ICICIBANK, TCS, KOTAKBANK","INFY, SBIN, RELIANCE",1.0431795742614225
14,2023-08-14,2023-08-28,-0.007242925692847124,"HDFCBANK, ASIANPAINT, ICICIBANK","SBIN, KOTAKBANK, RELIANCE",1.0356239021207512
15,2023-08-28,2023-09-11,0.0060241422723575876,"ASIANPAINT, RELIANCE, ITC","LT, SBIN, KOTAKBANK",1.0418626478477806
16,2023-09-11,2023-09-25,0.004930659907345309,"RELIANCE, INFY, TCS","SBIN, ITC, ICICIBANK",1.0469997182344843
17,2023-09-25,2023-10-09,-0.009221616719229336,"KOTAKBANK, TCS, INFY","ASIANPAINT, SBIN, HDFCBANK",1.0373446881277848
18,2023-10-09,2023-10-23,-0.013305528517161045,"SBIN, KOTAKBANK, ASIANPAINT","RELIANCE, HDFCBANK, TCS",1.023542268797775
19,2023-10-23,2023-11-06,0.006379454857246584,"SBIN, HDFCBANK, INFY","ICICIBANK, TCS, LT",1.0300719104960543
20,2023-11-06,2023-11-20,0.0002509868050700875,"RELIANCE, HDFCBANK, INFY","TCS, ASIANPAINT, LT",1.0303304449538622
21,2023-11-20,2023-12-04,-0.010534543100824884,"INFY, SBIN, KOTAKBANK","TCS, HDFCBANK, RELIANCE",1.0194763844734036
22,2023-12-04,2023-12-18,0.0031979977697141515,"INFY, SBIN, KOTAKBANK","RELIANCE, HDFCBANK, ASIANPAINT",1.0227366676772258
23,2023-12-18,2024-01-01,0.004480447821060613,"TCS, ICICIBANK, SBIN","KOTAKBANK, HDFCBANK, RELIANCE",1.0273189859514391
24,2024-01-01,2024-01-15,-0.004433749305432429,"ITC, INFY, RELIANCE","HDFCBANK, ASIANPAINT, TCS",1.0227641111110195
25,2024-01-15,2024-01-29,-0.01083309267197405,"ITC, INFY, HDFCBANK","KOTAKBANK, ASIANPAINT, TCS",1.0116844127137847
26,2024-01-29,2024-02-12,0.0061095107091389475,"ICICIBANK, ITC, TCS","KOTAKBANK, ASIANPAINT, INFY",1.0178653094675285
27,2024-02-12,2024-02-26,-0.004558792423139686,"ITC, ICICIBANK, ASIANPAINT","SBIN, LT, TCS",1.0132250728069512
28,2024-02-26,2024-03-11,0.0007795059782552827,"LT, RELIANCE, ASIANPAINT","TCS, SBIN, ICICIBANK",1.0140148878085224
29,2024-03-11,2024-03-25,0.02427086826209252,"ASIANPAINT, RELIANCE, LT","HDFCBANK, TCS, ITC",1.0386259095663235
30,2024-03-25,2024-04-08,0.014917394706780626,"INFY, RELIANCE, ICICIBANK","TCS, ITC, HDFCBANK",1.0541195022120133
31,2024-04-08,2024-04-22,-0.008730288668755774,"RELIANCE, ICICIBANK, SBIN","TCS, ITC, HDFCBANK",1.0449167346663373
32,2024-04-22,2024-05-06,0.0027195772659608674,"SBIN, ITC, INFY","TCS, KOTAKBANK, RELIANCE",1.047758466462758
33,2024-05-06,2024-05-20,-0.014065440104248086,"LT, TCS, HDFCBANK","RELIANCE, ASIANPAINT, KOTAKBANK",1.0330212825090073
34,2024-05-20,2024-06-03,-0.009856983923717477,"KOTAKBANK, LT, INFY","RELIANCE, ITC, HDFCBANK",1.022838808334458
35,2024-06-03,2024-06-17,0.026970604587791002,"ICICIBANK, ASIANPAINT, RELIANCE","HDFCBANK, KOTAKBANK, SBIN",1.050425389391094
36,2024-06-17,2024-07-01,-0.0019797130246783957,"RELIANCE, ASIANPAINT, INFY","LT, KOTAKBANK, SBIN",1.0483458485662636
37,2024-07-01,2024-07-15,-0.006116625357118763,"INFY, ITC, ICICIBANK","HDFCBANK, SBIN, KOTAKBANK",1.041933509765893
38,2024-07-15,2024-07-29,5.6638285349831785e-05,"LT, HDFCBANK, INFY","ICICIBANK, SBIN, KOTAKBANK",1.0419925230933347
39,2024-07-29,2024-08-12,0.005118293419001719,"TCS, ITC, INFY","SBIN, ICICIBANK, RELIANCE",1.0473257465669323
40,2024-08-12,2024-08-26,0.00395490245141399,"INFY, ITC, RELIANCE","SBIN, HDFCBANK, ICICIBANK",1.051467817729459
41,2024-08-26,2024-09-09,-0.025467686256597278,"INFY, ITC, RELIANCE","KOTAKBANK, HDFCBANK, ICICIBANK",1.0246893652386162
42,2024-09-09,2024-09-23,-0.013205394920624794,"TCS, HDFCBANK, RELIANCE","INFY, ITC, KOTAKBANK",1.011157937499676
43,2024-09-23,2024-10-07,-0.00499807524014637,"HDFCBANK, KOTAKBANK, SBIN","RELIANCE, ITC, TCS",1.0061040940483814
