Date,Stock,Open,High,Low,Close,Volume
2023-01-02,RELIANCE,100.70695695163454,101.00980860959956,99.62346236138188,100.49671415301123,1449590.0
2023-01-03,RELIANCE,100.1727999650238,101.52198722385675,99.6311802245769,100.35844985184005,3604438.0
2023-01-04,RELIANCE,100.97730628887356,101.6841743568105,100.4329424661723,101.00613838994074,
2023-01-05,RELIANCE,102.85080514405924,103.99023856381821,101.42571965296739,102.52916824634876,3145529.0
2023-01-06,RELIANCE,102.25428006879864,102.94367759937855,101.12680207307041,102.29501487162543,2325541.0
2023-01-09,RELIANCE,101.9186761800017,102.97550203840328,100.94138756866664,102.06087791467625,2911139.0
2023-01-10,RELIANCE,103.63430317743395,104.2254403982623,102.67659668638308,103.64009073018364,1569793.0
2023-01-11,RELIANCE,104.73577471177377,105.9043997111825,103.52773967915732,104.40752545933655,4590512.0
2023-01-12,RELIANCE,103.77325912077247,104.94024608373284,102.57471742382977,,2997706.0
2023-01-13,RELIANCE,104.1543727101233,105.5759961343076,103.46152933185134,104.48061111698756,3301473.0
2023-01-16,RELIANCE,104.22920744450589,104.58426990156353,103.03801154654538,104.0171934241751,1198657.0
2023-01-17,RELIANCE,103.87744188331293,104.80142414100402,103.02582160479841,103.55146367060485,1026215.0
2023-01-18,RELIANCE,103.39406342069441,104.50333153526645,102.95217811454471,103.79342594217087,3133449.0
2023-01-19,RELIANCE,101.62001981026901,103.27819998695378,100.99995007872721,101.88014569751307,1549991.0
2023-01-20,RELIANCE,99.79719985476103,100.86036750548205,99.25640508410314,100.15522786500004,2611910.0
2023-01-23,RELIANCE,99.44088174734124,100.28362805642273,98.51276796653174,99.59294033575907,524528.0
2023-01-24,RELIANCE,98.53046019433008,99.11665888327275,97.54650666869777,98.58010921542466,2635610.0
2023-01-25,RELIANCE,99.14318288498323,99.86642349312993,97.78645145522648,98.89435654801993,2815223.0
2023-01-26,RELIANCE,98.13748005738039,99.05117360576133,96.72144921095659,97.98633247249872,712181.0
2023-01-27,RELIANCE,96.69495733864186,97.13973741059178,95.26104303244733,96.57402877116343,3745525.0
